open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1646524800000,0.00000205,0.00000205,0.00000200,0.00000203,1507832.00000000,1646611199999,3.04445922,732,810190.00000000,1.63935438,0
1646611200000,0.00000204,0.00000204,0.00000195,0.00000200,2759485.00000000,1646697599999,5.50583938,923,1331098.00000000,2.66061481,0
1646697600000,0.00000200,0.00000206,0.00000198,0.00000201,2903735.00000000,1646783999999,5.85492355,1337,1495639.00000000,3.01641478,0
1646784000000,0.00000202,0.00000204,0.00000189,0.00000192,3547621.00000000,1646870399999,6.88691585,1051,2058637.00000000,3.97571577,0
1646870400000,0.00000193,0.00000198,0.00000190,0.00000196,2896331.00000000,1646956799999,5.65183430,745,1818402.00000000,3.55873392,0
1646956800000,0.00000197,0.00000198,0.00000190,0.00000194,2671294.00000000,1647043199999,5.17420952,815,1452173.00000000,2.82196303,0
1647043200000,0.00000196,0.00000199,0.00000193,0.00000194,1554238.00000000,1647129599999,3.03747049,633,971484.00000000,1.90345482,0
1647129600000,0.00000193,0.00000196,0.00000187,0.00000189,2131944.00000000,1647215999999,4.06128027,789,912801.00000000,1.74165572,0
1647216000000,0.00000190,0.00000200,0.00000183,0.00000185,7786690.00000000,1647302399999,14.64736095,3330,3796261.00000000,7.16455504,0
1647302400000,0.00000184,0.00000193,0.00000181,0.00000188,6328279.00000000,1647388799999,11.76041048,3235,3167988.00000000,5.90448193,0
1647388800000,0.00000189,0.00000199,0.00000180,0.00000184,7945757.00000000,1647475199999,14.81221564,4269,3461741.00000000,6.48049282,0
1647475200000,0.00000186,0.00000208,0.00000183,0.00000199,48982884.00000000,1647561599999,96.11395936,13159,18785458.00000000,36.88469037,0
1647561600000,0.00000198,0.00000214,0.00000197,0.00000201,13530041.00000000,1647647999999,27.44043413,5383,5321018.00000000,10.82963244,0
1647648000000,0.00000199,0.00000202,0.00000192,0.00000198,7751636.00000000,1647734399999,15.32229479,4211,3120272.00000000,6.19094195,0
1647734400000,0.00000200,0.00000200,0.00000194,0.00000197,5106176.00000000,1647820799999,10.05408373,2758,2106581.00000000,4.13718957,0
1647820800000,0.00000197,0.00000200,0.00000195,0.00000200,4727004.00000000,1647907199999,9.34505937,1965,1492767.00000000,2.95660020,0
1647907200000,0.00000199,0.00000200,0.00000193,0.00000196,4814480.00000000,1647993599999,9.43266725,1402,1588919.00000000,3.12261162,0
1647993600000,0.00000195,0.00000203,0.00000193,0.00000202,8456795.00000000,1648079999999,16.73610704,1816,2772444.00000000,5.49634007,0
1648080000000,0.00000202,0.00000212,0.00000196,0.00000199,8694769.00000000,1648166399999,17.66407481,2141,3047078.00000000,6.16887478,0
1648166400000,0.00000198,0.00000202,0.00000194,0.00000198,4106341.00000000,1648252799999,8.10342761,1161,1907851.00000000,3.77031442,0
1648252800000,0.00000197,0.00000200,0.00000194,0.00000200,2922885.00000000,1648339199999,5.74797689,891,1652859.00000000,3.26222021,0
1648339200000,0.00000200,0.00000222,0.00000199,0.00000207,16809558.00000000,1648425599999,35.29460835,5594,8547091.00000000,17.87935759,0
1648425600000,0.00000208,0.00000220,0.00000206,0.00000206,8808681.00000000,1648511999999,18.69848118,3258,4560693.00000000,9.68327644,0
1648512000000,0.00000205,0.00000213,0.00000200,0.00000204,5693060.00000000,1648598399999,11.76667960,1861,2676001.00000000,5.53041309,0
1648598400000,0.00000204,0.00000221,0.00000204,0.00000220,5436894.00000000,1648684799999,11.51268293,2077,2455460.00000000,5.20298413,0
1648684800000,0.00000220,0.00000263,0.00000214,0.00000242,20861863.00000000,1648771199999,49.93071397,9425,10205683.00000000,24.46353313,0
1648771200000,0.00000242,0.00000249,0.00000226,0.00000233,14288872.00000000,1648857599999,33.40112795,3657,7796793.00000000,18.23087871,0
1648857600000,0.00000233,0.00000245,0.00000229,0.00000240,7829174.00000000,1648943999999,18.52894805,2621,4230327.00000000,10.01306897,0
1648944000000,0.00000238,0.00000244,0.00000225,0.00000235,7462609.00000000,1649030399999,17.39758344,2093,3534363.00000000,8.26593271,0
1649030400000,0.00000234,0.00000236,0.00000216,0.00000219,6448245.00000000,1649116799999,14.46158478,2062,2125028.00000000,4.77208606,0
1649116800000,0.00000218,0.00000218,0.00000209,0.00000214,5278234.00000000,1649203199999,11.26657480,1768,2439746.00000000,5.21746176,0
1649203200000,0.00000213,0.00000214,0.00000195,0.00000196,10465131.00000000,1649289599999,21.14665052,3209,3378709.00000000,6.83991460,0
1649289600000,0.00000196,0.00000214,0.00000196,0.00000206,9850088.00000000,1649375999999,20.16848188,2656,5688276.00000000,11.68834595,0
1649376000000,0.00000206,0.00000208,0.00000199,0.00000203,4788023.00000000,1649462399999,9.70400412,1313,2805223.00000000,5.68883631,0
1649462400000,0.00000203,0.00000212,0.00000203,0.00000212,5158095.00000000,1649548799999,10.76964457,1779,2788401.00000000,5.81734513,0
1649548800000,0.00000212,0.00000214,0.00000209,0.00000213,4508542.00000000,1649635199999,9.56291076,1222,1756948.00000000,3.72360178,0
1649635200000,0.00000213,0.00000213,0.00000197,0.00000201,3961312.00000000,1649721599999,7.98639829,1359,1650301.00000000,3.32314703,0
1649721600000,0.00000200,0.00000211,0.00000197,0.00000209,4708513.00000000,1649807999999,9.61689735,1491,2880558.00000000,5.88697253,0
1649808000000,0.00000208,0.00000248,0.00000208,0.00000213,15049445.00000000,1649894399999,33.28290890,6147,7717695.00000000,17.08063216,0
1649894400000,0.00000212,0.00000219,0.00000209,0.00000216,7485283.00000000,1649980799999,15.98316434,2826,3767664.00000000,8.03143006,0
1649980800000,0.00000216,0.00000216,0.00000209,0.00000213,1357018.00000000,1650067199999,2.86857134,659,662765.00000000,1.40127318,0
1650067200000,0.00000212,0.00000213,0.00000209,0.00000209,1512775.00000000,1650153599999,3.18562174,528,654276.00000000,1.37954891,0
1650153600000,0.00000211,0.00000216,0.00000208,0.00000209,1659542.00000000,1650239999999,3.51991705,704,952205.00000000,2.02312201,0
1650240000000,0.00000208,0.00000212,0.00000202,0.00000205,4817043.00000000,1650326399999,9.91478289,1772,2799317.00000000,5.76595675,0
1650326400000,0.00000205,0.00000209,0.00000204,0.00000207,5872850.00000000,1650412799999,12.11124021,1484,3866542.00000000,7.98883264,0
1650412800000,0.00000207,0.00000210,0.00000203,0.00000205,2355510.00000000,1650499199999,4.86983267,899,912487.00000000,1.88782769,0
1650499200000,0.00000204,0.00000216,0.00000204,0.00000213,5945398.00000000,1650585599999,12.52708223,2364,3588728.00000000,7.56762667,0
1650585600000,0.00000215,0.00000254,0.00000214,0.00000222,25145703.00000000,1650671999999,58.53953706,9203,11899445.00000000,27.69218974,0
1650672000000,0.00000222,0.00000223,0.00000216,0.00000220,3004900.00000000,1650758399999,6.57967355,1051,1773532.00000000,3.88689448,0
1650758400000,0.00000220,0.00000222,0.00000211,0.00000215,2046222.00000000,1650844799999,4.41831162,787,1151702.00000000,2.49506299,0
1650844800000,0.00000215,0.00000215,0.00000207,0.00000208,3313076.00000000,1650931199999,6.94425942,1553,1385107.00000000,2.91110905,0
1650931200000,0.00000208,0.00000213,0.00000207,0.00000209,3684789.00000000,1651017599999,7.71665291,1834,1309492.00000000,2.74703257,0
1651017600000,0.00000210,0.00000211,0.00000205,0.00000206,2264961.00000000,1651103999999,4.70163693,1012,1075931.00000000,2.23795668,0
1651104000000,0.00000207,0.00000211,0.00000201,0.00000205,5956003.00000000,1651190399999,12.25340139,1611,2921284.00000000,6.01335300,0
1651190400000,0.00000205,0.00000205,0.00000200,0.00000202,3775827.00000000,1651276799999,7.62051085,1118,1726349.00000000,3.49236292,0
1651276800000,0.00000201,0.00000204,0.00000195,0.00000196,2701241.00000000,1651363199999,5.39163752,645,1869483.00000000,3.74106056,0
1651363200000,0.00000196,0.00000203,0.00000189,0.00000192,4530618.00000000,1651449599999,8.75079930,1432,2284029.00000000,4.41987710,0
1651449600000,0.00000192,0.00000199,0.00000187,0.00000194,4502042.00000000,1651535999999,8.68512988,1421,2233187.00000000,4.31847825,0
1651536000000,0.00000194,0.00000206,0.00000192,0.00000204,4545994.00000000,1651622399999,9.06064821,1838,2060029.00000000,4.10539179,0
1651622400000,0.00000205,0.00000205,0.00000196,0.00000205,3121209.00000000,1651708799999,6.25759079,1398,1883662.00000000,3.78606328,0
1651708800000,0.00000204,0.00000207,0.00000198,0.00000202,1490462.00000000,1651795199999,3.01801054,815,610776.00000000,1.24012433,0
1651795200000,0.00000201,0.00000202,0.00000194,0.00000200,2755865.00000000,1651881599999,5.42682943,974,1373039.00000000,2.70615812,0
1651881600000,0.00000200,0.00000203,0.00000196,0.00000199,1710088.00000000,1651967999999,3.40473597,705,781788.00000000,1.55731718,0
